date,campaign_id,platform,spend
2026-02-05,ig-spring,Meta,89.49
2026-02-05,tt-spring,TikTok,248.21
2026-02-05,search-brand,Google,53.52
2026-02-06,ig-spring,Meta,269.55
2026-02-06,tt-spring,TikTok,111.02
2026-02-06,search-brand,Google,218.99
2026-02-07,ig-spring,Meta,315.54
2026-02-07,tt-spring,TikTok,204.04
2026-02-07,search-brand,Google,225.84
2026-02-08,ig-spring,Meta,127.54
2026-02-08,tt-spring,TikTok,40.50
2026-02-08,search-brand,Google,49.46
2026-02-09,ig-spring,Meta,81.82
2026-02-09,tt-spring,TikTok,212.49
2026-02-09,search-brand,Google,161.03
2026-02-10,ig-spring,Meta,183.55
2026-02-10,tt-spring,TikTok,290.75
2026-02-10,search-brand,Google,76.97
